hardware_revision,reference,subsystem,quantity,item,manufacturer,manufacturer_part_number,critical_requirements,approved_substitute,source,status,verification_notes
HW-A0,CTRL-001,controller,1,Arduino Nano ESP32,Arduino,TBD exact header variant and SKU,ESP32-S3; Wi-Fi; Bluetooth; USB programming; 3.3 V I/O,None approved,https://docs.arduino.cc/hardware/nano-esp32,candidate,Firmware target selected; purchase variant not frozen
HW-A0,ACT-001,motion,1,Linear actuator,TBD,TBD,Physical stroke; speed; voltage; stall current; load; duty cycle; mounting pattern; end behavior,None approved,TBD,unselected,Software currently simulates a 50 mm command range; physical part not verified
HW-A0,LINK-001,motion,1,Apple lift linkage set,TBD,TBD,Exact working length; diameter; material; thread or end fittings; axial load; straightness; anti-loosening method; full-stroke clearance,None approved,TBD,unselected,Prefer a standard metal part selected after the actuator and Apple hub are measured
HW-A0,DRV-001,motion,1,Motor driver,TBD,TBD,Compatible with actuator voltage and measured current; reversible drive; disabled-safe behavior,None approved,TBD,unselected,Select after actuator
HW-A0,LIM-001,motion,2,Independent travel limit sensor,TBD,TBD,Positive home and upper-limit detection; compatible voltage and environment,None approved,TBD,unselected,Exact sensing method not selected
HW-A0,PLATE-001,structure,1,Internal actuator mounting plate,TBD,TBD,Rigid mounting; measured actuator pattern; stable attachment to base,None approved,TBD,unselected,Design after actuator and base measurement
HW-A0,DISP-001,display,1,Scoreboard display,TBD,TBD,Physical size; voltage; current; interface; viewing angle; mounting pattern,None approved,TBD,unselected,Display not selected
HW-A0,PWR-001,power,1,External certified low-voltage power supply,TBD,TBD,Certified for destination; sized from measured peak and continuous current with margin,None approved,TBD,unselected,Select after actuator driver and display
HW-A0,FUSE-001,power,1,Replaceable overcurrent protection,TBD,TBD,Rating and interrupt capacity matched to the released power design,None approved,TBD,unselected,Finalize with wiring design
HW-A0,HAR-001,wiring,1,Wiring and connector set,TBD,TBD,Wire gauge; insulation; keyed connectors; strain relief; serviceable lengths,None approved,TBD,unselected,Release as a cut list and harness drawing
HW-A0,APPLE-001,cosmetic,1,Donor-free red Apple shell with integrated leaf and stem,TBD,TBD,Measured shape; actuator opening; internal hub interface; red material; approved print profile,None approved,docs/3D_PRINTING.md,unselected,Reference measurements and printable model not yet available
HW-A0,FINISH-001,cosmetic,1,Apple finish and masking set,TBD,TBD,Exact surface preparation; masking material; green leaf paint; brown stem paint; optional compatible clear finish,None approved,docs/3D_PRINTING.md,unselected,Products and color codes must be verified on a print coupon
HW-A0,LOGO-001,cosmetic,1,Mets logo sticker,TBD,TBD,Recorded diameter; opaque white backing; conformable vinyl; protected print; placement template,None approved,docs/3D_PRINTING.md,unselected,Artwork rights and sticker source must be resolved
HW-A0,BASE-001,enclosure,1,Donor-free printable base cover,TBD,TBD,Measured fit; service access; ventilation; guards; approved material and print profile,None approved,docs/3D_PRINTING.md,unselected,Reference measurements and printable model not yet available
HW-A0,FAST-001,hardware,1,Fastener and threaded-insert set,TBD,TBD,Every size and quantity listed; compatible with printed material and structural plate,None approved,TBD,unselected,Define after mechanical CAD
HW-A0,FEET-001,structure,1,Non-slip foot set,TBD,TBD,Stable footprint; surface protection; attachment method,None approved,TBD,unselected,Verify during stability test
